,name,type,extension,path,date
1028,166090,ohlcv,parquet,/ohlcv/166090.parquet,20251124
1029,015860,ohlcv,parquet,/ohlcv/015860.parquet,20251124
1030,005440,ohlcv,parquet,/ohlcv/005440.parquet,20251124
1031,140410,ohlcv,parquet,/ohlcv/140410.parquet,20251124
1032,002900,ohlcv,parquet,/ohlcv/002900.parquet,20251124
1033,484590,ohlcv,parquet,/ohlcv/484590.parquet,20251124
1034,030210,ohlcv,parquet,/ohlcv/030210.parquet,20251124
1035,095610,ohlcv,parquet,/ohlcv/095610.parquet,20251124
1036,002390,ohlcv,parquet,/ohlcv/002390.parquet,20251124
1037,092230,ohlcv,parquet,/ohlcv/092230.parquet,20251124
1038,161890,ohlcv,parquet,/ohlcv/161890.parquet,20251124
1039,041440,ohlcv,parquet,/ohlcv/041440.parquet,20251124
1040,432720,ohlcv,parquet,/ohlcv/432720.parquet,20251124
1041,176750,ohlcv,parquet,/ohlcv/176750.parquet,20251124
1042,041830,ohlcv,parquet,/ohlcv/041830.parquet,20251124
1043,048870,ohlcv,parquet,/ohlcv/048870.parquet,20251124
1044,183490,ohlcv,parquet,/ohlcv/183490.parquet,20251124
1045,190510,ohlcv,parquet,/ohlcv/190510.parquet,20251124
1046,034830,ohlcv,parquet,/ohlcv/034830.parquet,20251124
1047,005720,ohlcv,parquet,/ohlcv/005720.parquet,20251124
1048,088980,ohlcv,parquet,/ohlcv/088980.parquet,20251124
1049,009410,ohlcv,parquet,/ohlcv/009410.parquet,20251124
1050,083930,ohlcv,parquet,/ohlcv/083930.parquet,20251124
1051,007390,ohlcv,parquet,/ohlcv/007390.parquet,20251124
1052,145720,ohlcv,parquet,/ohlcv/145720.parquet,20251124
1053,950220,ohlcv,parquet,/ohlcv/950220.parquet,20251124
1054,042660,ohlcv,parquet,/ohlcv/042660.parquet,20251124
1055,115310,ohlcv,parquet,/ohlcv/115310.parquet,20251124
1056,002450,ohlcv,parquet,/ohlcv/002450.parquet,20251124
1057,000700,ohlcv,parquet,/ohlcv/000700.parquet,20251124
1058,032820,ohlcv,parquet,/ohlcv/032820.parquet,20251124
1059,032830,ohlcv,parquet,/ohlcv/032830.parquet,20251124
1060,192080,ohlcv,parquet,/ohlcv/192080.parquet,20251124
1061,004360,ohlcv,parquet,/ohlcv/004360.parquet,20251124
1062,475580,ohlcv,parquet,/ohlcv/475580.parquet,20251124
1063,001740,ohlcv,parquet,/ohlcv/001740.parquet,20251124
1064,004370,ohlcv,parquet,/ohlcv/004370.parquet,20251124
1065,005810,ohlcv,parquet,/ohlcv/005810.parquet,20251124
1066,036220,ohlcv,parquet,/ohlcv/036220.parquet,20251124
1067,054920,ohlcv,parquet,/ohlcv/054920.parquet,20251124
1068,286940,ohlcv,parquet,/ohlcv/286940.parquet,20251124
1069,023910,ohlcv,parquet,/ohlcv/023910.parquet,20251124
1070,044490,ohlcv,parquet,/ohlcv/044490.parquet,20251124
1071,058630,ohlcv,parquet,/ohlcv/058630.parquet,20251124
1072,002380,ohlcv,parquet,/ohlcv/002380.parquet,20251124
1073,280360,ohlcv,parquet,/ohlcv/280360.parquet,20251124
1074,035080,ohlcv,parquet,/ohlcv/035080.parquet,20251124
1075,037270,ohlcv,parquet,/ohlcv/037270.parquet,20251124
1076,016740,ohlcv,parquet,/ohlcv/016740.parquet,20251124
1077,035720,ohlcv,parquet,/ohlcv/035720.parquet,20251124
1078,259960,ohlcv,parquet,/ohlcv/259960.parquet,20251124
1079,052330,ohlcv,parquet,/ohlcv/052330.parquet,20251124
1080,092220,ohlcv,parquet,/ohlcv/092220.parquet,20251124
